epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,val_loss,val_mae,val_rmse,val_mape,val_r2,learning_rate
44,1015.8391696897328,10.363447,32.26659,43.48562,0.70246243,906.9919532775879,10.986298,30.115004,44.628696,0.7026789,0.0001
45,1012.9874281923995,10.516833,32.220943,44.058216,0.7033037,916.3811489105225,11.073934,30.271923,44.08109,0.6995723,0.0001
46,1006.8198616484292,10.366842,32.124504,43.538376,0.70507705,904.5811061859131,11.150439,30.074453,45.379726,0.70347905,0.0001
47,999.7472681224856,10.323202,32.01201,43.28009,0.707139,907.916912651062,11.508351,30.131184,48.759766,0.7023593,0.0001
48,1003.6755512433174,10.383295,32.074535,43.813698,0.7059939,893.8689023971558,11.27693,29.896381,46.61484,0.7069801,0.0001
49,987.0391858418783,10.266738,31.804161,43.703636,0.71092963,909.0634929656983,11.774867,30.150265,49.91847,0.70198226,0.0001
50,987.153146434034,10.432403,31.806728,43.635944,0.710883,870.9859018325806,10.839212,29.511255,43.328156,0.7144809,0.0001
51,967.7454773014427,10.204528,31.494219,43.725723,0.7165364,884.2471958160401,11.1369705,29.737827,44.983658,0.7100799,0.0001
52,978.5531417977097,10.404085,31.668808,43.823643,0.71338487,900.9036270141602,11.035104,30.01811,45.037373,0.704589,0.0001
53,966.2053178966555,10.247367,31.46945,43.746933,0.71698207,872.5905246734619,10.926812,29.540901,44.830605,0.7139069,0.0001
54,956.306454878587,10.213286,31.306469,43.248142,0.719906,858.1010959625244,10.988723,29.293222,46.988766,0.7186842,0.0001
55,969.5458539326986,10.31955,31.523716,43.8818,0.7160052,846.6031852722168,10.953378,29.097235,45.49835,0.7224359,0.0001
56,957.4569526737572,10.150662,31.32706,43.040672,0.7195374,844.3680305480957,11.269895,29.058613,48.800774,0.7231722,0.0001
57,946.0730762318668,10.088087,31.140598,42.77552,0.7228662,829.6095125198365,11.103066,28.803946,48.221195,0.72800314,0.0001
58,947.0657318310859,10.112281,31.156578,43.398838,0.7225817,853.5818103790283,10.888423,29.21812,43.79698,0.7201247,0.0001
59,935.4667593149038,10.092463,30.964893,42.694984,0.7259847,846.0549530029297,10.978677,29.08767,46.176395,0.72261834,0.0001
60,923.5224940634181,10.018965,30.766016,43.092827,0.7294932,861.7424880981446,10.925974,29.358963,43.026737,0.7174201,0.0001
61,928.759056531466,10.111519,30.853832,43.087406,0.72794676,839.9449474334717,10.775722,28.985182,44.294636,0.72456956,0.0001
62,918.5787037743462,9.961409,30.684654,42.386272,0.7309221,849.0308559417724,10.746876,29.142958,42.72061,0.72156286,0.0001
63,918.7715501214703,10.013946,30.687754,43.070065,0.7308677,842.230725479126,11.215865,29.024393,47.31235,0.72382385,0.0001
64,918.2021708366199,10.05932,30.67703,42.864006,0.73105574,824.5034202575683,10.740838,28.7173,43.811626,0.72963715,0.0001
65,907.6212978200016,9.867708,30.501036,42.654358,0.73413277,827.9867340087891,11.074786,28.778912,46.10316,0.72847575,0.0001
66,903.8757013663268,9.896877,30.437122,42.159206,0.7352458,798.7630378723145,10.927289,28.266403,48.243607,0.7380605,0.0001
67,898.2772648966211,9.85496,30.343122,42.52202,0.7368786,806.1752601623535,11.022449,28.396948,46.74185,0.73563546,0.0001
68,891.8144378499088,9.890411,30.232107,42.43656,0.7388004,811.1455596923828,10.888887,28.482298,45.042297,0.7340439,0.0001
69,888.034785539676,9.886167,30.170061,42.6751,0.73987144,807.8999614715576,10.717716,28.429226,44.118435,0.7350341,0.0001
70,873.0157108795948,9.752084,29.912579,42.11015,0.74429256,799.7837795257568,10.717929,28.284988,43.914978,0.73771596,0.0001
71,871.0060340685723,9.739912,29.879639,41.89231,0.7448554,803.0213628768921,10.768298,28.3418,43.699085,0.73666126,0.0001
72,869.9548527318188,9.808121,29.860962,42.310192,0.7451743,793.8532415390015,10.69857,28.181252,43.941463,0.7396363,0.0001
73,866.9161686041416,9.775414,29.80905,42.114136,0.74605954,804.7771965026856,10.874625,28.373425,44.869884,0.73607326,0.0001
74,865.5466492481721,9.7268305,29.784582,42.15809,0.7464763,795.1008415222168,10.728379,28.20211,43.394474,0.7392507,0.0001
75,858.1287505810077,9.639764,29.655504,41.840057,0.7486689,786.0224384307861,11.176568,28.041021,48.290424,0.742221,0.0001
76,860.2712635464138,9.748188,29.693562,42.10225,0.7480234,758.2897285461426,10.799547,27.541073,48.41519,0.75133103,0.0001
77,868.9702291407136,9.972016,29.84395,44.117554,0.74546456,785.4129615783692,10.847686,28.029968,44.202263,0.74242413,0.0001
78,853.1686495919513,9.747672,29.57265,41.97177,0.7500713,761.444921875,10.705739,27.59685,46.434303,0.7503228,0.0001
79,845.0768373766516,9.702775,29.431973,42.253216,0.75244343,774.2750560760499,10.620334,27.831347,43.755257,0.7460616,0.0001
80,846.4947294251532,9.702406,29.455185,42.51362,0.75205284,795.9253513336182,11.184367,28.215961,48.287262,0.73899454,0.0001
81,835.2509700090458,9.65997,29.258234,42.099636,0.7553575,771.2537940979004,10.587171,27.776676,42.960884,0.7470583,0.0001
82,839.393894635714,9.649231,29.332293,42.14795,0.7541175,776.698641204834,10.936495,27.87414,45.205505,0.74528015,0.0001
83,831.060298039363,9.652607,29.186424,41.5107,0.7565569,759.8805648803711,10.7125845,27.568989,45.525467,0.75082666,0.0001
84,826.5515636867947,9.55466,29.107624,42.03532,0.7578697,760.2357858657837,10.675563,27.580248,43.546368,0.7506231,0.0001
85,829.4302278339353,9.643191,29.158604,41.887127,0.75702083,755.938886642456,10.644541,27.50016,44.60887,0.75206923,0.0001
86,823.2087839892787,9.542646,29.047575,40.951942,0.75886774,742.1593729019165,10.593072,27.248346,45.133606,0.756589,0.0001
87,826.5861764891534,9.603508,29.10816,42.282753,0.7578608,776.4558473587036,10.732159,27.87215,43.16577,0.7453165,0.0001
88,815.5673142783662,9.567245,28.911684,41.478783,0.76111853,746.1867630004883,10.911891,27.32275,48.252262,0.75525784,0.0001
89,804.8638210785695,9.459546,28.72258,41.702602,0.76423323,725.9115251541137,10.467442,26.948624,43.190414,0.76191443,0.0001
90,803.9824900178828,9.416531,28.705917,41.37723,0.7645067,733.7704708099366,10.819416,27.093145,46.2419,0.75935394,0.0001
91,809.6261999179155,9.458381,28.807983,40.850582,0.7628291,730.2502445220947,10.651506,27.026379,45.228554,0.7605386,0.0001
92,797.6156499976786,9.411075,28.592962,41.581844,0.76635635,738.0966941833497,10.663882,27.174295,44.217575,0.75791025,0.0001
93,796.9006943987985,9.426565,28.58037,41.319866,0.7665621,744.3962087631226,10.555373,27.291328,43.562485,0.75582045,0.0001
94,791.9191917517246,9.397126,28.490124,41.414577,0.768034,727.2390546798706,10.610154,26.974285,42.760925,0.7614608,0.0001
95,787.1809762644972,9.376891,28.403618,40.912476,0.76944053,740.7148838043213,10.58603,27.222075,42.334736,0.75705814,0.0001
96,781.9547008449196,9.376723,28.31121,41.283924,0.7709383,739.2600854873657,10.745165,27.195938,44.15895,0.75752443,0.0001
97,783.9233291006495,9.304231,28.346169,40.537445,0.7703723,708.5882230758667,10.761752,26.6227,46.36591,0.76763856,0.0001
98,780.5380109966311,9.405377,28.283878,40.99294,0.77138036,711.111707496643,10.605489,26.670633,44.087074,0.7668011,0.0001
99,793.3187071971404,9.5789795,28.515818,42.13622,0.76761544,745.1830503463746,10.683815,27.30219,42.995323,0.7556261,0.0001
100,785.1186171311599,9.417415,28.367638,41.40032,0.7700243,706.8536960601807,10.529496,26.592207,45.378716,0.76817054,0.0001
101,766.5806958125188,9.272585,28.030466,40.809063,0.7754587,707.1257099151611,10.833755,26.595797,47.503765,0.76810795,0.0001
102,773.0591924944495,9.370434,28.149176,41.647617,0.7735528,718.4132568359375,10.659325,26.808979,43.45487,0.7643755,0.0001
103,765.913366578583,9.401572,28.019968,42.283363,0.77562684,711.5967710494995,10.608498,26.681726,44.577225,0.76660705,0.0001
104,759.5905784215682,9.242512,27.902779,41.005085,0.77749974,700.4405242919922,10.679889,26.472363,44.102917,0.7702554,0.0001
105,769.4627028408214,9.287249,28.082129,40.656166,0.7746302,711.3445640563965,10.685689,26.676542,43.769592,0.7666977,0.0001
106,769.1852194957244,9.373369,28.07894,41.427757,0.7746814,719.3861640930176,10.649547,26.826714,43.191933,0.76406366,0.0001
107,757.802983210637,9.227771,27.869133,40.531338,0.778036,706.6149351119996,10.648352,26.58773,43.003754,0.76824856,0.0001
108,759.0289495256212,9.252451,27.892168,40.8302,0.7776689,713.2981338500977,10.633954,26.713797,42.715378,0.76604563,0.0001
109,758.6101146600186,9.207076,27.883871,41.009922,0.77780116,696.6508670806885,10.514446,26.401644,41.939304,0.7714813,0.0001
110,747.5264332274087,9.247734,27.681187,40.818985,0.7810197,714.1626075744629,10.817097,26.730188,44.243824,0.76575845,0.0001
111,747.4273867973915,9.251866,27.679066,40.683777,0.78105325,684.5213300704957,10.4909315,26.167946,44.1912,0.7755089,0.0001
112,737.4083286187588,9.154706,27.492699,41.03292,0.7839917,691.7183475494385,10.453094,26.306705,42.781918,0.7731218,0.0001
113,746.0172005840856,9.287545,27.651915,41.274563,0.7814826,691.6758647918701,10.738936,26.30507,45.301132,0.77314997,0.0001
114,741.4613469930796,9.345575,27.56847,41.042416,0.7827994,693.1784896850586,10.509329,26.333757,44.120865,0.7726549,0.0001
115,731.4472676464635,9.184249,27.381231,41.50417,0.7857398,705.6499185562134,10.587976,26.571058,43.02595,0.7685391,0.0001
116,726.1476978073772,9.110018,27.281635,40.54493,0.78729564,684.731576538086,10.84706,26.173464,46.696922,0.7754142,0.0001
117,729.9934233477992,9.194435,27.352945,40.72578,0.7861822,669.3442701339721,10.5042715,25.877306,45.730377,0.78046787,0.0001
118,733.6093166383922,9.25851,27.42099,41.515144,0.7851171,700.5060501098633,10.67157,26.473934,43.105026,0.77022815,0.0001
119,727.1412153162507,9.18041,27.299902,41.22844,0.78701067,675.1874214172364,10.610823,25.991844,44.437675,0.7785202,0.0001
120,720.5526951357849,9.167505,27.176146,40.64068,0.78893733,666.3836261749268,10.403847,25.8203,43.88136,0.78143406,0.0001
121,712.8354703136998,9.076169,27.031006,40.519802,0.7911858,687.8433303833008,10.683861,26.232327,43.327774,0.7744029,0.0001
122,710.0305524972769,9.018051,26.97815,40.490974,0.79200166,691.5136371612549,10.766175,26.302284,45.068024,0.773198,0.0001
123,713.526014735556,9.108664,27.044413,40.370502,0.7909786,681.9506855010986,10.961674,26.11886,49.855034,0.7763503,0.0001
124,731.6645685505663,9.388188,27.385208,42.291744,0.7856775,673.6426170349121,10.516556,25.95994,43.654102,0.7790636,0.0001
125,712.8831029549623,9.185914,27.030497,41.11275,0.79119366,665.7211696624756,10.818312,25.808,46.194054,0.78164226,0.0001
126,716.8750717293503,9.098858,27.107811,40.14947,0.78999746,657.1497053146362,10.686756,25.639887,46.998478,0.7844778,0.0001
127,697.3653766273434,8.985938,26.734634,40.194633,0.79573965,672.416242980957,10.689465,25.936531,46.114056,0.77946186,0.0001
128,702.3823877644335,9.096836,26.831743,41.1303,0.79425305,669.4849029541016,10.555486,25.880594,42.698315,0.78041214,0.0001
129,703.9247017395802,9.091751,26.860834,40.93055,0.7938067,708.2365926742553,10.93645,26.620617,45.113884,0.7676749,0.0001
130,698.5203748849722,8.96868,26.758055,39.847656,0.79538155,652.6992168426514,10.674203,25.551727,46.038494,0.78595734,0.0001
131,703.1381564996182,9.205059,26.846594,41.42631,0.79402524,667.4966455459595,10.509301,25.843197,42.291615,0.7810463,0.0001
132,694.5679866106083,8.964161,26.68105,40.446777,0.7965576,655.4200702667237,10.582565,25.608192,43.103073,0.7850102,0.0001
133,699.7718739794869,9.030327,26.781137,40.00648,0.7950284,650.4235095977783,10.369336,25.509235,43.661385,0.7866686,0.0001
134,688.9004566812108,9.003244,26.57336,40.511642,0.79819655,663.797749710083,10.537356,25.7711,42.878353,0.78226626,0.0001
135,684.0697409964015,8.957626,26.479424,40.68355,0.79962075,669.9452508926391,10.630073,25.890419,44.351105,0.78024536,0.0001
136,691.5695665799655,9.058343,26.62492,39.99498,0.7974127,645.864220046997,10.478153,25.416288,45.39419,0.7882204,0.0001
137,679.150940039219,8.928774,26.3845,40.346657,0.80105484,639.9071166992187,10.353541,25.301214,43.25085,0.7901338,0.0001
138,679.8097842778915,8.940055,26.397972,40.48972,0.80085164,655.3296104431153,10.579251,25.603952,43.324425,0.78508145,0.0001
139,687.5547180827866,8.986616,26.547676,40.18246,0.7985865,638.7692993164062,10.477187,25.27688,45.22938,0.79053724,0.0001
140,682.2603082086285,9.018079,26.443567,40.274307,0.8001631,653.3614683151245,10.480829,25.563408,42.66588,0.7857616,0.0001
141,681.215566129766,9.050292,26.424818,41.099873,0.8004464,652.1204204559326,10.493958,25.540472,42.15284,0.7861458,0.0001
142,672.8475869659685,8.955025,26.262508,40.17914,0.8028903,641.5474895477295,10.625214,25.335148,45.995228,0.78957045,0.0001
143,677.6537450643686,9.046796,26.353054,40.507553,0.8015288,652.9437808990479,10.794738,25.55826,45.34365,0.78584784,0.0001
144,662.2924686334072,8.833746,26.05562,40.29758,0.8059836,623.2576543807984,10.336823,24.969967,44.301277,0.79559296,0.0001
145,661.882601990659,8.800128,26.045715,40.074913,0.80613106,634.6233924865722,10.788271,25.196735,47.319645,0.7918634,0.0001
146,661.1885547963982,8.837479,26.033049,39.35882,0.8063196,625.9658996582032,10.625947,25.022717,46.205204,0.7947284,0.0001
147,664.5666508470845,8.94737,26.099558,40.75672,0.8053287,630.6665161132812,10.447077,25.11749,42.609657,0.7931706,0.0001
148,660.2166185623561,8.932059,26.014498,40.24662,0.8065955,618.8608169555664,10.412786,24.882458,44.861332,0.7970232,0.0001
149,657.5033159663535,8.799487,25.958263,39.568336,0.80743074,637.7439109802247,10.396853,25.25839,43.446888,0.79084355,0.0001
150,666.991381441426,8.987292,26.147072,41.15478,0.80461925,634.585750579834,10.468735,25.194674,42.16508,0.7918975,0.0001
151,655.4465482988928,8.827432,25.919424,39.77467,0.8080066,648.9469924926758,10.785058,25.479757,47.609802,0.78716135,0.0001
152,651.4579725836078,8.8602085,25.839401,39.918247,0.8091903,619.2263494491577,10.286107,24.889172,43.600212,0.7969136,0.0001
153,642.7012934073424,8.774118,25.666117,40.30051,0.81174093,642.1991516113281,10.441707,25.3461,42.07733,0.7893885,0.0001
154,644.1113598815397,8.791504,25.690739,39.417953,0.81137955,631.7565658569335,10.874092,25.13846,48.668423,0.7928251,0.0001
155,651.7142931294237,9.012588,25.844793,40.363483,0.80911064,618.6303359985352,10.604588,24.87507,45.263577,0.7971437,0.0001
156,641.990150696192,8.786048,25.652351,40.192326,0.8119428,606.5161081314087,10.369723,24.632322,44.00896,0.8010836,0.0001
157,630.2310750097291,8.62708,25.415318,39.179306,0.81540215,606.4508781433105,10.433294,24.629019,44.29356,0.801137,0.0001
158,642.59617629418,8.747559,25.664574,39.339092,0.8117635,606.5408941268921,10.537366,24.631323,45.35839,0.8010997,0.0001
159,624.3470808991,8.603511,25.297113,38.873837,0.8171152,603.9992279052734,10.599817,24.581139,48.128353,0.8019094,0.0001
160,634.5445656083588,8.765474,25.501307,39.82188,0.81415087,602.4721338272095,10.373532,24.55029,44.39485,0.8024063,0.0001
161,630.5008296151447,8.734257,25.421925,39.997524,0.8153061,603.5768581390381,10.511054,24.57237,45.41161,0.8020507,0.0001
162,627.1596703977666,8.677289,25.353731,39.70159,0.8162956,641.4815393447876,11.211447,25.332985,50.427193,0.78960633,0.0001
163,627.4993146586622,8.7743,25.35998,39.819416,0.81620514,613.9444007873535,10.431199,24.783157,44.24773,0.79864,0.0001
164,624.3846614055144,8.738749,25.298246,39.9505,0.81709886,617.1664276123047,10.489877,24.846516,43.96034,0.79760915,0.0001
165,631.7598371424226,8.900995,25.446041,40.17475,0.81495553,618.0809339523315,10.799294,24.864305,48.9391,0.79731923,0.0001
166,619.0006059662909,8.746684,25.186907,39.6727,0.8187052,621.9180149078369,10.452753,24.944921,43.868126,0.7960028,0.0001
167,617.1503935430804,8.708439,25.151194,40.122517,0.819219,606.4077476501465,10.323111,24.629364,43.061752,0.80113137,0.0001
168,621.0016308645917,8.773244,25.22993,39.186207,0.8180853,612.0783641815185,10.606314,24.744999,47.66014,0.7992596,0.0001
169,609.3367165133484,8.635648,24.990696,39.44363,0.82151884,593.0396827697754,10.201181,24.357021,42.708607,0.8055051,0.0001
170,612.9162476531461,8.602535,25.064,39.763687,0.8204703,591.2009220123291,10.448573,24.318827,43.393654,0.80611455,0.0001
171,616.3783055329934,8.676413,25.13549,38.989723,0.81944466,624.0441394805908,10.880037,24.986183,48.54205,0.7953274,0.0001
172,613.6637931073833,8.723158,25.0793,39.786346,0.820251,588.0914293289185,10.274334,24.25529,42.660378,0.8071264,0.0001
