epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2
1,6419.144673625394,29.410372,80.11956,-0.14224958,5096.553128135076,25.323515,71.390144,-0.12505531
2,6301.746417312273,28.053196,79.38354,-0.12135923,4999.203213450842,24.14608,70.70504,-0.103565454
3,6185.561678083878,26.85298,78.648346,-0.10068488,4897.242319294386,22.949623,69.9803,-0.081057906
4,6065.8267892214235,25.771803,77.88342,-0.079378724,4796.906271064018,22.254477,69.259705,-0.05890882
5,5948.78982426032,25.416937,77.128395,-0.058552623,4704.445412546872,22.095688,68.58897,-0.038498282
6,5842.065472176283,25.575764,76.4334,-0.03956163,4630.89878804277,22.523567,68.050705,-0.02226293
7,5759.669819670092,26.126225,75.89249,-0.02489984,4578.742995921862,23.20157,67.66641,-0.010749698
8,5709.62348463337,26.815702,75.56204,-0.015994191,4555.7277833221515,23.815216,67.49613,-0.005669117
9,5678.730562561075,26.543238,75.357346,-0.010497093,4538.137175359479,23.275297,67.3657,-0.0017859936
10,5612.397741491372,25.862719,74.91594,0.0013062954,4514.8097346731565,22.079662,67.19233,0.0033635497
11,5561.514667543463,25.531435,74.57556,0.010360837,4525.895348216495,22.017984,67.27477,0.0009163618
12,5577.576949543632,25.873987,74.68318,0.007502556,4444.740021235271,22.637064,66.668884,0.018831313
13,5494.9572201911815,25.417385,74.12798,0.02220422,4439.41802339742,22.48636,66.62896,0.02000612
14,5455.434319856515,25.56271,73.860916,0.029237092,4398.11619255698,23.461494,66.3183,0.029123425
15,5416.252236556757,25.396555,73.59519,0.036209345,4405.607162859716,22.436434,66.37475,0.027469754
16,5404.442973018864,25.498095,73.51492,0.038310647,4411.986591252096,22.14652,66.42279,0.026061475
17,5393.481230590261,25.38271,73.44032,0.04026133,4419.128743029109,22.012747,66.476524,0.024485052
18,5369.272062270408,25.496836,73.275314,0.044569194,4381.083075419341,22.724451,66.18975,0.032883406
19,5330.635925812587,25.440275,73.0112,0.05144435,4347.45766713447,22.730652,65.93525,0.04030615
20,5305.793363300116,25.271378,72.84087,0.05586493,4369.798618007813,22.141745,66.104454,0.035374403
21,5313.674750087615,25.418627,72.89496,0.054462373,4356.862789170735,22.188267,66.00654,0.038230002
22,5281.401917703025,25.264118,72.673256,0.06020516,4325.024079270854,22.726847,65.76491,0.045258462
23,5246.796630979287,25.246641,72.43478,0.06636292,4304.456208732559,22.819756,65.60835,0.049798667
24,5226.174649881239,25.270086,72.29228,0.0700326,4316.43225598648,22.563307,65.69956,0.047155023
25,5221.676248346815,25.304993,72.26117,0.07083297,4315.270316880162,22.487877,65.69072,0.04741144
26,5238.36337542081,25.678066,72.37654,0.0678637,4328.770247141671,22.19438,65.79339,0.044431448
27,5209.423459276,25.166468,72.17634,0.073013365,4306.700347312473,22.353546,65.62545,0.049303293
28,5209.76426721759,25.502249,72.178696,0.07295263,4301.838612558148,22.320896,65.5884,0.050376534
29,5160.008818201091,24.914165,71.8332,0.08180642,4282.038725699337,22.36917,65.437294,0.054747224
30,5142.760513875246,24.841034,71.71304,0.08487558,4270.033730937353,22.594229,65.34549,0.057397485
31,5120.6850176438365,25.145634,71.55896,0.08880383,4252.960578643435,22.699326,65.21472,0.061166346
32,5085.719696744408,24.751326,71.31423,0.09502572,4235.262935229501,22.543825,65.078896,0.06507307
33,5073.688399479135,24.536018,71.22983,0.09716654,4242.490299045863,22.48574,65.13441,0.063477516
34,5067.217089819767,24.79288,71.18439,0.0983181,4231.473086872107,22.191803,65.049774,0.065909505
35,5061.850443901856,24.485937,71.14668,0.099273026,4205.622124505458,22.13799,64.85077,0.07161617
36,5024.437982285655,24.275715,70.88327,0.10593045,4201.53095254649,22.70466,64.819214,0.0725193
37,5031.178083998125,24.757242,70.9308,0.10473108,4177.4420408684655,22.1792,64.63313,0.07783687
38,5035.088639195011,24.70955,70.95836,0.10403526,4190.557821793416,22.156443,64.73452,0.074941516
39,4990.6490217107685,24.313274,70.64452,0.111943066,4153.459902282866,22.300495,64.44734,0.08313084
40,4959.778885077556,24.189793,70.4257,0.11743611,4163.66894395993,21.81627,64.5265,0.080877304
41,4999.561263068798,24.470945,70.70757,0.110357106,4155.189883739894,21.591969,64.46076,0.08274901
42,4956.795501629043,24.014269,70.40452,0.11796701,4137.152454574147,21.905123,64.3207,0.08673066
43,4936.049548735553,24.167606,70.25703,0.12165862,4131.812022975736,21.590904,64.279175,0.08790952
44,4917.849833330455,23.738752,70.12738,0.12489718,4140.758392366446,21.506056,64.348724,0.08593464
45,4941.76926400635,24.188377,70.297714,0.12064093,4086.5866780877886,21.64693,63.92642,0.09789294
46,4902.095016769279,23.857965,70.01496,0.12770063,4121.91900493377,21.341877,64.20217,0.09009349
47,4890.929406686319,23.542334,69.93518,0.12968755,4077.7906139298484,21.584509,63.85758,0.0998348
48,4846.959156628442,23.468586,69.6201,0.13751185,4079.975780354058,21.484663,63.874687,0.0993523
49,4851.900143746387,23.472794,69.65558,0.13663262,4052.8708745543663,22.037046,63.662163,0.10533571
50,4854.40592310018,24.057716,69.67357,0.1361866,4068.4560346081525,21.01873,63.784454,0.10189515
51,4866.910505973052,23.39453,69.763245,0.13396156,4071.704454103467,21.29978,63.809906,0.10117835
52,4832.314124506443,23.53924,69.51485,0.14011776,4035.023986845261,21.623917,63.52184,0.10927534
53,4803.944421694493,23.30986,69.31049,0.14516598,4015.6654154916505,21.633068,63.36928,0.113548696
54,4759.726789453253,23.088133,68.99077,0.15303427,4027.2108886451842,21.240656,63.460304,0.11100018
55,4810.848963489545,23.965513,69.36028,0.14393741,3993.5578406392196,21.068106,63.194603,0.118429005
56,4761.107520422595,23.095137,69.00078,0.15278852,4000.7527551555195,20.826614,63.251507,0.1168406
57,4758.354551264095,23.166708,68.98083,0.15327835,4002.7360004496736,21.192707,63.267178,0.116402924
58,4724.804210350571,22.924988,68.73721,0.15924853,3981.5420520973184,21.1302,63.099464,0.12108141
59,4696.606430483395,22.693243,68.53179,0.16426617,3960.6132252824714,21.76065,62.933403,0.12570143
60,4683.831875984077,22.870155,68.43853,0.16653919,3923.8049672835405,20.769512,62.64028,0.13382685
61,4667.266855775724,22.645266,68.3174,0.16948694,3913.740179493134,20.93829,62.559895,0.1360485
62,4670.185342125434,22.80055,68.33875,0.1689676,3921.8377793572104,21.32069,62.624577,0.13426107
63,4652.349237708071,22.469933,68.20813,0.17214149,3890.708009644781,21.37856,62.375538,0.14113301
64,4612.320442244674,22.449896,67.91407,0.1792643,3896.2822805318324,20.294733,62.420208,0.13990241
65,4609.363353816684,22.221375,67.89229,0.17979056,3901.5167933893376,20.666727,62.46212,0.13874698
66,4610.192167490702,22.323498,67.89839,0.1796431,3888.986562804851,20.378372,62.361736,0.14151293
67,4567.849403106549,22.096264,67.58587,0.18717772,3882.1093727421103,21.018656,62.306576,0.14303094
68,4545.8696312245465,21.871103,67.42306,0.19108891,3825.029031572972,20.840973,61.84682,0.15563142
69,4551.132735336693,22.387663,67.46208,0.19015235,3836.300623861389,20.4771,61.937878,0.15314323
70,4545.83665253465,22.33655,67.42282,0.19109476,3853.396759570624,19.950676,62.075733,0.1493693
71,4532.021748900648,22.05573,67.32029,0.19355303,3847.6574193018714,19.82823,62.029488,0.15063626
72,4540.8139436793,22.015038,67.38556,0.19198853,3806.443862043984,19.75818,61.69638,0.15973407
73,4478.607194402129,21.475416,66.92239,0.20305789,3786.553553440683,19.81915,61.53498,0.16412473
74,4449.4079265082355,21.321218,66.70388,0.20825374,3812.8124429540226,20.456882,61.747974,0.15832818
75,4437.471685982875,21.66329,66.61435,0.2103777,3804.7975474218856,20.005377,61.683044,0.16009742
76,4464.261044665263,21.762516,66.815125,0.20561069,3787.919292288094,19.758358,61.546074,0.16382337
77,4407.0939064250715,21.264942,66.38595,0.21578318,3775.770876916133,19.822098,61.447304,0.16650504
78,4372.136745070662,21.008892,66.12213,0.22200364,3694.713998022464,19.780985,60.78416,0.18439817
79,4344.637446515297,20.881891,65.913864,0.226897,3699.5166730827764,20.495602,60.82365,0.18333805
80,4402.276114633057,21.730963,66.349655,0.21664047,3790.1687519563566,19.746758,61.564342,0.1633268
81,4344.946027015031,20.945358,65.91621,0.22684205,3727.536264134389,20.005928,61.053555,0.17715275
82,4300.4420778765425,20.762453,65.57775,0.2347613,3689.332206110204,20.229872,60.739876,0.18558621
83,4277.324834217803,20.90446,65.40126,0.23887485,3703.2737038083396,19.527445,60.85453,0.1825087
84,4269.063332708192,20.338036,65.33807,0.24034494,3675.1799721996804,20.363924,60.62326,0.18871039
85,4272.833418450796,21.039658,65.36691,0.23967409,3652.8256857831093,19.399961,60.43861,0.193645
86,4235.039350208614,20.600796,65.07718,0.24639934,3686.2932875741108,20.294687,60.714855,0.18625706
87,4245.147197451089,20.804384,65.15479,0.24460065,3660.2623398211276,19.96436,60.500107,0.19200331
88,4324.665150500624,21.661633,65.762184,0.23045099,3646.7270875675376,19.51398,60.388138,0.19499123
89,4232.048743247361,20.727085,65.0542,0.24693155,3689.999479578088,19.522705,60.745365,0.18543899
90,4232.311718893894,20.666069,65.05622,0.2468847,3637.232471166245,19.683762,60.309475,0.19708711
91,4161.868679763604,20.381039,64.51254,0.25941962,3701.0138773790222,20.59095,60.83596,0.18300748
92,4187.361568568342,20.798279,64.70982,0.25488335,3645.27424388399,19.397493,60.376114,0.19531184
93,4207.605869595491,20.612864,64.86606,0.25128096,3593.3102600544908,19.672098,59.944225,0.20678294
94,4128.7986354265795,20.279314,64.25573,0.26530427,3662.834396216227,21.394827,60.521355,0.19143558
95,4165.409879853074,20.837778,64.539986,0.25878954,3557.7349252830427,19.51262,59.64675,0.21463609
96,4096.729272468931,20.325306,64.0057,0.27101076,3514.4559234990647,18.985775,59.28285,0.22418988
97,4071.6222514993783,20.105692,63.80926,0.27547848,3552.6763387467477,19.437084,59.604332,0.21575284
98,4058.953910712721,20.034279,63.70992,0.2777328,3578.41257008547,19.248259,59.81983,0.21007162
99,4124.235043668716,20.0448,64.22021,0.26611632,3634.0186689345496,21.757385,60.28282,0.19779658
100,4075.028522463975,20.598055,63.835953,0.2748723,3492.6907966053805,19.351507,59.09899,0.22899449
101,4023.1598989690297,19.913881,63.428387,0.28410202,3499.4337656489784,19.621939,59.156013,0.22750598
102,3995.9947127146743,19.812307,63.213882,0.2889359,3460.7661087005476,19.502594,58.828278,0.23604178
103,3981.9765385076275,19.840088,63.1029,0.2914304,3443.090061593064,19.119356,58.67785,0.23994374
104,3991.392955557693,20.167742,63.17747,0.2897548,3493.7063067343456,19.105057,59.107582,0.22877043
105,3973.5539933300206,19.71449,63.036133,0.2929291,3474.1302556203705,19.854033,58.941753,0.23309165
106,3967.290542772414,20.030746,62.98643,0.29404372,3432.0997303271884,19.694674,58.58413,0.24236983
