epoch,train_loss,train_mae,train_rmse,train_r2,val_loss,val_mae,val_rmse,val_r2
1,6391.490668016395,29.094112,79.9468,-0.13732862,5072.547622,25.003386,71.22182,-0.11975598
2,6274.743556,27.75791,79.21328,-0.11655426,4976.356474769664,23.883205,70.5433,-0.09852219
3,6160.208170293122,26.588432,78.48699,-0.09617329,4875.991348809433,22.698174,69.82831,-0.0763669
4,6041.458291044404,25.643372,77.72682,-0.075042605,4777.651466830404,22.210796,69.12056,-0.054658294
5,5926.865191686365,25.410162,76.98614,-0.05465138,4687.866211,22.132996,68.467995,-0.034838438
6,5824.701875238225,25.666258,76.31973,-0.036471963,4617.522773590286,22.644182,67.952354,-0.019310236
7,5744.910829,26.28873,75.7952,-0.02227366,4570.746624523578,23.381372,67.6073,-0.008984447
8,5695.763392360365,26.33096,75.470276,-0.013527989,4586.4172710260455,22.896349,67.72309,-0.012443781
9,5660.818419330949,26.356586,75.23841,-0.007309794,4552.582108075956,23.165646,67.472824,-0.004974604
10,5628.980500846418,26.457481,75.026535,-0.001644373,4543.680266,23.289402,67.40682,-0.003009677
11,5606.006886740174,26.603857,74.87327,0.002443671,4510.671424107382,23.934584,67.16153,0.00427711
12,5544.753587524175,26.240433,74.463104,0.013343275,4453.492151821016,22.750553,66.73449,0.016899288
13,5498.381712308333,25.781385,74.15108,0.021594882,4425.931893,22.59198,66.52768,0.022983193
14,5462.999005051009,25.89578,73.9121,0.02789104,4477.1225843502825,21.8872,66.9113,0.011682808
15,5477.935478805012,25.659712,74.01308,0.02523321,4437.876909446018,22.020798,66.61739,0.020346284
16,5431.604772221754,25.688902,73.699425,0.033477426,4382.082201345552,23.249475,66.197296,0.032662928
17,5386.8544669660305,25.483706,73.395195,0.041440487,4384.816700313069,22.33844,66.21795,0.032059193
18,5378.994787110015,25.336266,73.34163,0.04283911,4376.325046399992,22.51405,66.15379,0.03393382
19,5401.280641606999,25.792599,73.4934,0.038873553,4340.508203143756,22.744257,65.88254,0.041840255
20,5324.618100509194,25.260101,72.96998,0.05251509,4351.802468723107,22.193888,65.96819,0.039347112
21,5312.382856227872,25.213192,72.88609,0.054692328,4351.814085,22.12418,65.96828,0.03934449
22,5299.026937808254,25.179651,72.79442,0.057068944,4308.2219052131595,23.102343,65.63705,0.04896736
23,5252.034387055143,25.13351,72.47092,0.06543094,4333.128427360994,22.074173,65.8265,0.04346931
24,5239.230617,25.118162,72.38253,0.06770933,4302.1617130793065,22.224861,65.590866,0.050305128
25,5225.961254227294,25.26046,72.29081,0.070070505,4317.995885147691,21.903637,65.711464,0.046809793
26,5202.584822139478,24.862951,72.128944,0.07423025,4301.540759971303,22.12958,65.58613,0.05044228
27,5166.465522851051,24.761711,71.87813,0.08065742,4304.985741795074,22.058422,65.61239,0.049681783
28,5154.761138296471,24.809628,71.79667,0.08274007,4275.257036727366,22.234615,65.385445,0.056244373
29,5134.532007243638,24.904564,71.65565,0.08633989,4271.511482620194,21.995144,65.356804,0.05707115
30,5124.823769400146,24.704405,71.587875,0.08806735,4277.572078656593,21.869843,65.403145,0.055733323
31,5115.874696323118,24.644293,71.52534,0.08965987,4230.925977783781,22.491385,65.04557,0.06603038
32,5068.253362949174,24.573193,71.191666,0.09813374,4224.478531,22.362032,64.995995,0.06745356
33,5062.279235040431,24.782875,71.1497,0.09919679,4233.960600425216,22.066217,65.06889,0.06536037
34,5053.165171465221,24.668291,71.08562,0.100818634,4238.771115375966,21.945044,65.10585,0.06429851
35,5051.563256484196,24.635025,71.07435,0.10110366,4207.781983,22.606356,64.86742,0.071139455
36,5005.2169767228625,24.495829,70.74756,0.10935074,4204.458255152403,22.05354,64.84179,0.07187307
37,5042.422375052602,24.957428,71.01001,0.102730334,4186.392759434256,22.490793,64.70234,0.07586092
38,4999.766178972985,24.650032,70.70902,0.11032063,4211.162735470473,21.852684,64.89347,0.070393145
39,4999.092734546074,24.546516,70.70426,0.11044049,4186.820480085183,22.139359,64.70564,0.07576668
40,4964.513149418859,24.234463,70.459305,0.11659372,4172.527490036719,22.187862,64.59511,0.078921676
41,4937.597276908709,24.237076,70.268036,0.12138325,4184.505128695235,22.831266,64.68775,0.07627773
42,4931.129785823759,24.328278,70.22201,0.122534096,4151.778125351308,22.128368,64.43429,0.08350217
43,4962.934716305236,24.8038,70.4481,0.116874695,4133.688919700386,22.092735,64.29377,0.08749533
44,4916.147213079606,24.199959,70.11525,0.12519997,4123.929466,22.612528,64.21783,0.08964962
45,4864.822540662924,24.032234,69.74828,0.13433307,4114.5693587147725,22.213821,64.14491,0.09171575
46,4930.216788381241,24.56246,70.2155,0.12269652,4109.960418748061,22.473803,64.10897,0.09273338
47,4864.371758201814,24.170134,69.74505,0.13441324,4127.749733991029,21.630133,64.24757,0.08880639
48,4910.375440436403,24.381042,70.07407,0.1262272,4099.206998196804,21.877087,64.02505,0.09510708
49,4842.640360854073,24.106752,69.58908,0.13828021,4089.0066067184234,21.593004,63.945335,0.09735894
50,4839.116603229276,23.851067,69.56376,0.13890731,4075.923924723721,21.335543,63.84296,0.10024679
51,4809.052331131271,23.801891,69.34733,0.14425707,4051.452869789945,21.652794,63.651028,0.1056487
52,4805.296714637821,23.955887,69.320244,0.14492542,4049.8523303664133,21.109291,63.638454,0.10600197
53,4787.480974318549,23.445105,69.19162,0.14809561,4044.6023917406137,21.828815,63.597187,0.107160985
54,4751.950895578001,23.510225,68.934395,0.15441793,3999.5110757708508,20.681849,63.241688,0.11711478
55,4753.584566647193,23.40079,68.94624,0.15412718,3962.142971600135,20.781548,62.945557,0.12536371
56,4700.661145023529,23.069128,68.56137,0.1635446,3949.654984993907,20.827196,62.84628,0.12812042
57,4686.167377,23.07041,68.45559,0.16612375,3956.279178645985,20.788567,62.89896,0.12665814
58,4693.743001561892,23.3489,68.510895,0.16477567,3953.107670809132,20.468752,62.87374,0.12735838
59,4724.155722687427,23.538118,68.73249,0.15936387,3950.6119658886405,20.905037,62.853893,0.12790924
60,4671.073768,23.041494,68.34525,0.16880953,3914.884475078612,20.444744,62.56904,0.13579595
61,4662.972678253834,23.065386,68.285965,0.17025113,3932.9516207766355,20.37097,62.71325,0.13180768
62,4636.152657659364,22.80632,68.0893,0.17502344,3919.8804613624447,20.2271,62.608948,0.13469315
63,4658.076786,23.128607,68.25011,0.1711222,3893.5832300992065,20.557745,62.398582,0.14049816
64,4616.565799136059,22.77203,67.94531,0.17850894,3877.0776001777285,20.219742,62.266182,0.1441418
65,4602.246815839467,22.594877,67.83987,0.18105686,3877.993042789302,20.181065,62.273533,0.14393973
66,4593.709026803826,22.614176,67.7769,0.18257624,3864.501390044845,20.335354,62.165115,0.14691794
67,4560.927632709696,22.201893,67.53464,0.18840945,3850.1986573903137,20.831041,62.04997,0.15007526
68,4555.857288,22.548204,67.49709,0.18931162,3815.842250438492,20.188068,61.772503,0.15765935
69,4536.094513159292,22.158318,67.35053,0.19282836,3837.791006,20.19951,61.94991,0.15281415
70,4525.159088014853,22.29209,67.2693,0.19477421,3804.9086100122154,20.065128,61.683945,0.16007292
71,4501.025587160601,21.922962,67.08968,0.19906855,3791.042420838463,19.899881,61.571445,0.16313386
72,4475.2184340521335,21.969149,66.89707,0.2036609,3805.233561649374,19.739048,61.686577,0.16000116
73,4519.720562668196,22.161407,67.22887,0.19574201,3777.7998299372703,19.904991,61.463806,0.16605723
74,4515.179790644218,22.315485,67.19508,0.19654995,3796.914116083399,20.020086,61.619106,0.1618377
75,4430.108019376004,21.521835,66.55906,0.21168798,3758.3025849016262,19.429098,61.304996,0.17036116
76,4388.357798438331,21.013643,66.244675,0.21911722,3770.2429149822906,20.578781,61.4023,0.16772538
77,4374.464396618517,21.304384,66.13974,0.22158939,3758.1399667440273,19.978195,61.30367,0.17039704
78,4354.606186842403,21.281565,65.98944,0.22512305,3710.5844283803335,19.614492,60.91457,0.18089479
79,4315.291200409235,20.59882,65.69087,0.23211902,3697.6529645217593,19.868364,60.80833,0.18374944
80,4304.988402980563,20.883455,65.61241,0.23395228,3685.6687493792606,19.768616,60.70971,0.18639493
81,4292.5616188474005,20.756575,65.51765,0.23616356,3671.7719520521055,19.336584,60.59515,0.18946266
82,4298.531433764984,20.79365,65.56319,0.23510122,3689.5959786813096,19.311655,60.742043,0.18552804
83,4292.970722,20.937325,65.52077,0.23609084,3701.924909533289,19.30166,60.843445,0.18280643
84,4241.3006605786595,20.678068,65.12527,0.24528515,3649.528676698372,19.244572,60.41133,0.19437277
