epoch,train_loss,train_mse,train_mae,train_ccc,val_loss,val_mse,val_mae,val_ccc,lr,growth_rate,decay_rate,diffusion_coef,spike_count
0,1.00467365352731,274362.65625,206.80166625976562,0.0009984254138544202,2.418493390083313,1453188.75,315.3169250488281,0.0011250823736190796,9.5e-06,0.0991581380367279,0.050841011106967926,0.010818136855959892,0
1,0.8575373950757479,269605.625,196.802978515625,0.01686636172235012,2.3979416340589523,1447025.0,308.1951904296875,0.006487115286290646,1.9e-05,0.09692053496837616,0.053072113543748856,0.012490741908550262,0
2,0.8297681557504755,261639.1875,179.983154296875,0.05363699793815613,2.3561325818300247,1433519.125,300.3988342285156,0.01879993826150894,2.85e-05,0.09419041126966476,0.055786147713661194,0.01150315161794424,0
3,0.7531399319046422,247989.578125,163.36715698242188,0.1304924190044403,2.270833283662796,1400402.375,295.2083435058594,0.04485949128866196,3.8e-05,0.09030363708734512,0.059661298990249634,0.008162260986864567,0
4,0.6655251799445403,230216.953125,148.5443878173828,0.2483716756105423,2.177219219505787,1363803.875,292.5153503417969,0.08414885401725769,4.75e-05,0.08146309852600098,0.06863880902528763,0.009024088270962238,0
5,0.5849848138658624,209967.34375,132.01634216308594,0.35661739110946655,2.09887283295393,1328478.125,285.5183410644531,0.11814475804567337,5.7e-05,0.07449150085449219,0.07570541650056839,0.01221292745321989,0
6,0.520341335158599,192381.015625,122.80812072753906,0.43804362416267395,2.0375721752643585,1299452.375,274.24591064453125,0.14547288417816162,6.65e-05,0.07384692132472992,0.0761929601430893,0.01746092177927494,0
7,0.47181155179676254,176356.625,115.7796401977539,0.5055553317070007,1.9891617894172668,1275662.625,272.3630065917969,0.17542795836925507,7.6e-05,0.07303586602210999,0.0768246278166771,0.020590974017977715,0
8,0.4391333005930248,163111.8125,112.46072387695312,0.5633774995803833,1.960838995873928,1260694.625,265.5209045410156,0.18996180593967438,8.55e-05,0.07002118974924088,0.07967466115951538,0.03020666539669037,1
9,0.41696851661330775,153545.40625,111.11971282958984,0.602989673614502,1.9401329681277275,1246101.75,263.1805114746094,0.19820713996887207,9.5e-05,0.06230245530605316,0.08722216635942459,0.03644656389951706,2
10,0.39058570642220347,147731.671875,111.00509643554688,0.6319307088851929,1.912318080663681,1229253.125,269.5980224609375,0.21753638982772827,9.993911347284109e-05,0.05484100803732872,0.09436174482107162,0.04784969985485077,3
11,0.3593926688558177,139972.734375,108.09835052490234,0.6565850973129272,1.8938624262809753,1218411.375,263.0899963378906,0.22342805564403534,9.941172660922498e-05,0.04837270453572273,0.10051124542951584,0.056249987334012985,3
12,0.3650478657923247,134481.875,106.04061126708984,0.6729215383529663,1.8826509043574333,1211177.375,260.2654113769531,0.22492899000644684,9.834845263344136e-05,0.04186997562646866,0.10646543651819229,0.06020704284310341,3
13,0.33467159537892593,129235.296875,104.92205810546875,0.693909764289856,1.873823806643486,1204439.875,256.33343505859375,0.22341758012771606,9.676094099767333e-05,0.033122219145298004,0.1150669977068901,0.06172466650605202,4
14,0.3325211884159791,125295.328125,104.4156723022461,0.7023009061813354,1.8579585552215576,1196153.625,253.47183227539062,0.23243914544582367,9.466658481161052e-05,0.031058654189109802,0.11666050553321838,0.06507354974746704,5
15,0.3589191264227817,121942.6171875,103.65319061279297,0.7136880159378052,1.8499479591846466,1191985.125,251.3785400390625,0.23326019942760468,9.208833027989965e-05,0.023729078471660614,0.12393845617771149,0.06771213561296463,6
