epoch,train_loss,train_mape,train_mae,train_rmse,val_loss,val_mape,val_mae,val_rmse,val_r2,val_mape_h3,val_mape_h6,val_mape_h12,val_mae_h3,val_mae_h6,val_mae_h12,val_rmse_h3,val_rmse_h6,val_rmse_h12,lr,free_flow_speed,jam_density,relaxation_rate,spike_count
0,8.643316015202732,9.636711329221725,3.7819483280181885,7.496169319984505,8.182020277347204,9.128845483064651,3.5842251777648926,7.501635309591852,0.6439789533615112,7.014966756105423,9.05042365193367,12.225031852722168,2.893813371658325,3.5761685371398926,4.554134845733643,5.931923586640689,7.452730372316002,9.368203102522767,0.0001496,65.0109634399414,0.1035928875207901,0.09123384952545166,1
1,8.124343229487618,9.071584045886993,3.5511744022369385,7.392692163915655,8.031710165851521,8.964255452156067,3.5766077041625977,7.366198444014494,0.656718373298645,6.9460853934288025,8.908041566610336,11.864519119262695,2.8725578784942627,3.553086996078491,4.572211742401123,5.893956221434424,7.353017600167236,9.098445767990619,0.00019946344724751873,65.00517272949219,0.10473227500915527,0.059111591428518295,2
2,7.946583279951371,8.872099965810776,3.5295610427856445,7.265793271320914,7.819205599011116,8.720527589321136,3.488734006881714,7.154765812248853,0.6761420369148254,6.887547671794891,8.793295174837112,11.199869960546494,2.841094493865967,3.4682958126068115,4.415038585662842,5.821808283572539,7.140082474347094,8.888296134046385,0.00019664099070198506,64.99652862548828,0.13285081088542938,0.053558312356472015,3
3,7.786585246815401,8.687960356473923,3.500515937805176,7.183209274648654,7.660535371528481,8.53222981095314,3.502586603164673,7.202577119127738,0.6717992424964905,6.842381507158279,8.58045369386673,10.876323282718658,2.830317497253418,3.4799606800079346,4.456960678100586,5.788452610522745,7.123845324731114,9.068981299681065,0.00019146353555111854,64.98540496826172,0.16528896987438202,0.07796429842710495,4
4,7.659212822582632,8.539052307605743,3.4838483333587646,7.154419244193038,7.577467041195564,8.437171578407288,3.4963271617889404,7.218444553535127,0.6703515648841858,6.809797883033752,8.475176244974136,10.70934385061264,2.8430933952331543,3.4819891452789307,4.406822681427002,5.802296203689671,7.176854484759334,9.029910506336229,0.00018405856792372193,64.97006225585938,0.1832929104566574,0.10218280553817749,5
5,7.560006749821219,8.426492661237717,3.4586782455444336,7.111739551405232,7.5030211502651,8.358589559793472,3.441551685333252,7.082692135979539,0.6826339960098267,6.748931854963303,8.380811661481857,10.606570541858673,2.8388402462005615,3.446385622024536,4.2672505378723145,5.799949961479328,7.110239634492786,8.671299600842893,0.0001746084226984604,64.95690155029297,0.19974063336849213,0.13830974698066711,5
6,7.480616964758399,8.339303731918335,3.4352293014526367,7.067357106337974,7.411420799651236,8.255722373723984,3.3663368225097656,6.896787487143726,0.6990755796432495,6.690441817045212,8.281725645065308,10.436291247606277,2.7824501991271973,3.384289503097534,4.136533737182617,5.657450343110899,6.989336065323601,8.355833526253203,0.0001633457938140137,64.93937683105469,0.2071230560541153,0.1696033626794815,5
7,7.400017540722607,8.249977231025696,3.4067790508270264,6.997694725824361,7.39958862988454,8.243775367736816,3.339515447616577,6.800181038634422,0.7074469327926636,6.691766530275345,8.288034051656723,10.379479825496674,2.784701347351074,3.3634774684906006,4.071389198303223,5.634870388703306,6.904158193444544,8.217532919924269,0.00015054800457203917,64.9211196899414,0.21367554366588593,0.19884561002254486,5
8,7.349131378898009,8.194854855537415,3.3861637115478516,6.950345355996848,7.304261648430015,8.13356414437294,3.355956554412842,6.825069206362003,0.7053015232086182,6.635812669992447,8.182210475206375,10.191947221755981,2.7995529174804688,3.373117685317993,4.107889175415039,5.618307243444264,6.89472987939798,8.299611130762392,0.00013653017901710165,64.90203857421875,0.21487128734588623,0.22519396245479584,5
9,7.30271003335555,8.143163472414017,3.3682477474212646,6.906170184334457,7.2723973427178725,8.096987754106522,3.3712246417999268,6.911431073669474,0.6977963447570801,6.612031161785126,8.145637810230255,10.14106497168541,2.804457664489746,3.382838726043701,4.14955997467041,5.707466709409147,7.0018117467421535,8.381008441126543,0.00012163748253685944,64.88552856445312,0.2146080881357193,0.24433527886867523,5
